Date,Open,High,Low,Close,Adj Close,Volume
4/27/21,132,132.789993,131.410004,132.110001,129.624344,5833100
4/28/21,132.259995,132.330002,130.350006,130.710007,128.250671,8195400
4/29/21,131.770004,134.119995,131.229996,133.259995,130.752716,6612500
4/30/21,132.440002,133.880005,132.050003,132.619995,130.124756,5643600
5/3/21,133.369995,134.449997,132.589996,133.029999,130.527023,5053000
5/4/21,132.229996,132.589996,130.479996,131.550003,129.07486,6129500
5/5/21,132.699997,134.220001,132.080002,132.210007,129.722473,6234200
5/6/21,132.600006,133.839996,131.940002,133.490005,130.978378,5201000
5/7/21,135,139.360001,134.720001,137.809998,135.217087,10566700
5/10/21,138,138.899994,136.300003,136.399994,133.833618,5669300
5/11/21,138.380005,138.380005,135.009995,137.119995,134.54007,8045400
5/12/21,135.419998,136.820007,133.339996,133.389999,130.88028,5865100
5/13/21,133.699997,135.029999,132.490005,133.610001,131.0961,6284300
5/14/21,134.339996,136.679993,134.050003,135.929993,133.372437,4367900
5/17/21,136.330002,137.070007,135.5,136.410004,133.84346,3934200
5/18/21,136.440002,137.470001,135.449997,135.559998,133.00943,5664700
5/19/21,133.479996,133.970001,131.960007,132.960007,130.458344,5582300
5/20/21,133.779999,134.210007,132.190002,133.270004,130.762527,4934800
5/21/21,133.830002,134.169998,132.410004,132.660004,130.163986,5329700
5/24/21,133.100006,134.350006,132.809998,134.059998,131.537643,4313200
5/25/21,134.940002,135.169998,133.850006,134.320007,131.792755,4885800
5/26/21,135.199997,137.919998,135,136.889999,134.314377,6781500
5/27/21,137.550003,138.309998,136.460007,136.559998,133.990631,12882300
5/28/21,136.240005,137.350006,136.089996,136.460007,134.162674,4153500
6/1/21,137.850006,138.050003,134.210007,134.509995,132.245499,5577900
6/2/21,134.589996,135.490005,133.529999,134.169998,131.911209,5226100
6/3/21,133.199997,134.690002,132.509995,134.169998,131.911209,5027400
6/4/21,134.5,134.940002,132.279999,133.740005,131.488464,5217100
6/7/21,134,135.199997,133.449997,133.949997,131.694901,3765000
6/8/21,134.690002,134.720001,132.410004,133.350006,131.105026,4915200
